sentido,t_s,posicion_mm,presion_A_bar,presion_B_bar
calentamiento,178.5503,71.8765,30.8283,0.0000
calentamiento,178.7567,71.9157,30.7980,0.0000
calentamiento,178.9523,71.9319,30.7797,0.0000
calentamiento,179.1498,71.8686,30.8293,0.0000
calentamiento,179.3542,71.9163,30.8194,0.0000
calentamiento,179.5521,71.9129,30.7635,0.0000
calentamiento,179.7509,71.8669,30.8218,0.0000
calentamiento,179.9518,71.9107,30.7753,0.0000
extendiendo,0.0000,27.0052,34.6531,58.4386
extendiendo,0.0141,27.3239,32.7253,57.2468
extendiendo,0.1185,27.6960,30.4717,52.5329
extendiendo,0.2119,28.1442,28.7141,49.2546
extendiendo,0.3156,28.5971,27.3131,46.7245
extendiendo,0.4171,29.0796,26.0197,44.5199
extendiendo,0.5186,29.5017,24.9994,42.7841
extendiendo,0.6116,29.9062,24.1154,41.2383
extendiendo,0.7160,30.2950,23.4334,39.9911
extendiendo,0.8211,30.7038,22.7870,38.8877
extendiendo,0.9160,31.1908,22.0967,37.8596
extendiendo,1.0124,31.6297,21.7202,37.0373
extendiendo,1.1156,31.9990,21.1902,36.2298
extendiendo,1.2194,32.3585,20.8639,35.5489
extendiendo,1.3136,32.7740,20.4963,34.8876
extendiendo,1.4183,33.2096,20.0874,34.2945
extendiendo,1.5188,33.6356,19.7668,33.7064
extendiendo,1.6117,34.0074,19.5867,33.2006
extendiendo,1.7158,34.3663,19.2191,32.7397
extendiendo,1.8210,34.7605,18.9533,32.2700
extendiendo,1.9147,35.1913,18.7387,31.8717
extendiendo,2.0116,35.5777,18.3648,31.4210
extendiendo,2.1156,35.9752,18.0808,30.9836
extendiendo,2.2195,36.3002,17.9852,30.6476
extendiendo,2.3150,36.6904,17.7753,30.2589
extendiendo,2.4183,37.0933,17.5983,29.9643
extendiendo,2.5167,37.5450,17.3466,29.4969
extendiendo,2.6171,37.8792,17.1973,29.2334
extendiendo,2.7197,38.2204,16.8286,28.9179
extendiendo,2.8125,38.5682,16.7910,28.6371
extendiendo,2.9171,38.9723,16.5696,28.3992
extendiendo,3.0211,39.3252,16.4783,28.1430
extendiendo,3.1183,39.7237,16.2407,27.8366
extendiendo,3.2134,40.0001,16.2475,27.6630
extendiendo,3.3170,40.4040,16.0255,27.3334
extendiendo,3.4205,40.7833,15.9759,27.1442
extendiendo,3.5128,41.1697,15.9274,26.9659
extendiendo,3.6127,41.5088,15.6830,26.7068
extendiendo,3.7163,41.8427,15.6031,26.5133
extendiendo,3.8196,42.1556,15.4841,26.3435
extendiendo,3.9126,42.5781,15.3807,26.1158
extendiendo,4.0162,42.9543,15.1713,25.8649
extendiendo,4.1194,43.3059,15.1086,25.7410
extendiendo,4.2215,43.5948,15.0068,25.5644
extendiendo,4.3155,43.9375,15.0011,25.4449
extendiendo,4.4199,44.3372,14.8705,25.2877
extendiendo,4.5135,44.6995,14.8240,25.1461
extendiendo,4.6182,45.0405,14.7765,25.0060
